epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8945,1.11972,2.15549,3.23253,1.18197,0.00559,0.66111,0.33162,0.23166,0.00587,0.67531,0.22622,0.12935,1.36115,3.1189,3.11732,1.46703,0.000543587,0.000543587,0.000543587
2,69.1883,1.28163,2.32621,2.18299,1.29889,0.61169,0.15616,0.27447,0.1598,0.53163,0.13582,0.23183,0.11533,1.71716,7.25926,2.88024,1.73902,0.00109614,0.00109614,0.00109614
3,103.343,1.37434,2.39404,2.02856,1.31726,0.53101,0.44594,0.46165,0.25871,0.60098,0.37615,0.42459,0.24079,1.88258,4.46808,2.29045,1.75166,0.00164556,0.00164556,0.00164556
4,137.269,1.41711,2.5125,1.99317,1.38311,0.59126,0.44842,0.51528,0.29153,0.56736,0.45393,0.4718,0.29574,1.76751,3.77,2.88517,1.68506,0.00165285,0.00165285,0.00165285
5,170.787,1.41245,2.54883,1.86588,1.39366,0.66124,0.46323,0.52844,0.31144,0.60489,0.51478,0.53428,0.33077,1.79883,4.67028,2.32233,1.77542,0.00164814,0.00164814,0.00164814
6,204.633,1.38619,2.50186,1.78706,1.36106,0.4341,0.57888,0.55073,0.34547,0.44645,0.57262,0.54327,0.33854,1.46466,3.073,2.46721,1.49494,0.00164342,0.00164342,0.00164342
7,237.86,1.31805,2.43944,1.63707,1.32798,0.77256,0.26446,0.48437,0.28994,0.65849,0.33852,0.47073,0.29141,1.601,3.02425,2.76595,1.61559,0.00163871,0.00163871,0.00163871
8,271.654,1.29683,2.33554,1.65324,1.3157,0.70518,0.63587,0.6702,0.45412,0.69869,0.62232,0.65584,0.43903,1.45803,2.84159,1.80691,1.48722,0.00163399,0.00163399,0.00163399
9,303.141,1.29187,2.28939,1.60914,1.32527,0.61038,0.5953,0.59668,0.37133,0.61272,0.59659,0.58988,0.38433,1.55728,2.69682,2.14038,1.55212,0.00162928,0.00162928,0.00162928
10,335.09,1.27794,2.29611,1.53749,1.30631,0.69671,0.59729,0.66089,0.42627,0.68289,0.57506,0.634,0.43922,1.50632,3.30055,1.8206,1.51889,0.00162456,0.00162456,0.00162456
11,365.586,1.24242,2.32959,1.4798,1.29264,0.81341,0.6339,0.69948,0.49238,0.80129,0.61808,0.67516,0.48566,1.40388,2.62063,1.54838,1.45818,0.00161985,0.00161985,0.00161985
12,398.528,1.21828,2.25303,1.43062,1.26757,0.74108,0.56674,0.68695,0.45127,0.72109,0.55114,0.65338,0.42211,1.42241,2.67142,1.72524,1.47949,0.00161513,0.00161513,0.00161513
13,429.61,1.24568,2.19606,1.46514,1.28112,0.69153,0.62951,0.68673,0.47911,0.6865,0.6251,0.6744,0.46146,1.41701,2.509,1.55535,1.42214,0.00161042,0.00161042,0.00161042
14,459.975,1.16819,2.16446,1.36677,1.23903,0.76866,0.70076,0.7627,0.53901,0.78889,0.67887,0.73859,0.50953,1.33667,2.41743,1.3668,1.38358,0.0016057,0.0016057,0.0016057
15,490.972,1.18219,2.13009,1.33301,1.2416,0.7192,0.64171,0.69039,0.44389,0.72241,0.64595,0.68004,0.45615,1.58106,2.79697,1.77994,1.65191,0.00160099,0.00160099,0.00160099
16,520.652,1.18904,2.1135,1.397,1.27237,0.82752,0.66782,0.72983,0.5137,0.81691,0.65704,0.70851,0.50806,1.32603,2.59057,1.44066,1.39998,0.00159627,0.00159627,0.00159627
17,549.246,1.13748,2.11556,1.31837,1.23021,0.80603,0.6924,0.76132,0.52519,0.7978,0.67498,0.74133,0.52635,1.32963,2.54543,1.38437,1.40895,0.00159156,0.00159156,0.00159156
18,578.708,1.13341,2.03817,1.24177,1.22086,0.81505,0.62776,0.72705,0.51755,0.81957,0.62776,0.71093,0.51528,1.35592,2.51624,1.42462,1.38673,0.00158684,0.00158684,0.00158684
19,611.77,1.16305,2.07055,1.27933,1.2389,0.84033,0.67109,0.78098,0.53269,0.85157,0.67865,0.77157,0.53775,1.29481,2.38958,1.34648,1.38567,0.00158213,0.00158213,0.00158213
20,640.37,1.14151,2.04019,1.2654,1.24011,0.80254,0.699,0.7818,0.54754,0.79359,0.69801,0.76546,0.52684,1.2845,2.33795,1.32057,1.35988,0.00157741,0.00157741,0.00157741
21,671.597,1.1549,2.01731,1.22863,1.22061,0.84123,0.70944,0.77923,0.54975,0.84904,0.68902,0.76388,0.54911,1.29422,2.43762,1.38716,1.35293,0.0015727,0.0015727,0.0015727
22,702.708,1.08334,2.02204,1.23684,1.20011,0.75709,0.71751,0.77903,0.5536,0.75343,0.71208,0.76594,0.53579,1.30311,2.26356,1.38506,1.40384,0.00156798,0.00156798,0.00156798
23,733.103,1.0786,1.9767,1.19183,1.17705,0.76332,0.74893,0.79272,0.56209,0.75216,0.72701,0.77357,0.55581,1.26517,2.26271,1.30809,1.35207,0.00156326,0.00156326,0.00156326
